patient_id,n_cells,n_edges,frac_benign_epithelial,frac_inflammatory,frac_necrotic,frac_neoplastic,frac_no_label,frac_stromal,mean_degree,std_degree,max_degree,mean_mixing,std_mixing,mean_deg_benign_epithelial,mean_mix_benign_epithelial,mean_deg_inflammatory,mean_mix_inflammatory,mean_deg_necrotic,mean_mix_necrotic,mean_deg_neoplastic,mean_mix_neoplastic,mean_deg_no_label,mean_mix_no_label,mean_deg_stromal,mean_mix_stromal,edge_frac_neoplastic__neoplastic,edge_frac_neoplastic__no_label,edge_frac_no_label__no_label,edge_frac_stromal__stromal,edge_frac_no_label__stromal,edge_frac_neoplastic__stromal,edge_frac_necrotic__neoplastic,edge_frac_benign_epithelial__stromal,edge_frac_inflammatory__no_label,edge_frac_benign_epithelial__neoplastic,edge_frac_benign_epithelial__inflammatory,edge_frac_inflammatory__neoplastic,edge_frac_necrotic__necrotic,edge_frac_necrotic__no_label,edge_frac_benign_epithelial__no_label,edge_frac_inflammatory__inflammatory,edge_frac_inflammatory__stromal,edge_frac_necrotic__stromal,edge_frac_inflammatory__necrotic,edge_frac_benign_epithelial__benign_epithelial,edge_frac_benign_epithelial__necrotic,mean_deg_benign_epithelial_r20,mean_mix_benign_epithelial_r20,n_cells_benign_epithelial,mean_deg_inflammatory_r20,mean_mix_inflammatory_r20,n_cells_inflammatory,mean_deg_necrotic_r20,mean_mix_necrotic_r20,n_cells_necrotic,mean_deg_neoplastic_r20,mean_mix_neoplastic_r20,n_cells_neoplastic,mean_deg_no_label_r20,mean_mix_no_label_r20,n_cells_no_label,mean_deg_stromal_r20,mean_mix_stromal_r20,n_cells_stromal,mean_deg_benign_epithelial_r40,mean_mix_benign_epithelial_r40,mean_deg_inflammatory_r40,mean_mix_inflammatory_r40,mean_deg_necrotic_r40,mean_mix_necrotic_r40,mean_deg_neoplastic_r40,mean_mix_neoplastic_r40,mean_deg_no_label_r40,mean_mix_no_label_r40,mean_deg_stromal_r40,mean_mix_stromal_r40,mean_deg_benign_epithelial_r80,mean_mix_benign_epithelial_r80,mean_deg_inflammatory_r80,mean_mix_inflammatory_r80,mean_deg_necrotic_r80,mean_mix_necrotic_r80,mean_deg_neoplastic_r80,mean_mix_neoplastic_r80,mean_deg_no_label_r80,mean_mix_no_label_r80,mean_deg_stromal_r80,mean_mix_stromal_r80,mean_deg_benign_epithelial_r100,mean_mix_benign_epithelial_r100,mean_deg_inflammatory_r100,mean_mix_inflammatory_r100,mean_deg_necrotic_r100,mean_mix_necrotic_r100,mean_deg_neoplastic_r100,mean_mix_neoplastic_r100,mean_deg_no_label_r100,mean_mix_no_label_r100,mean_deg_stromal_r100,mean_mix_stromal_r100,is_benign_epithelial,is_inflammatory,is_necrotic,is_neoplastic,is_no_label,is_stromal,degree,mixing_index,local_frac_benign_epithelial,local_frac_inflammatory,local_frac_necrotic,local_frac_neoplastic,local_frac_no_label,local_frac_stromal,voronoi_area_mean,voronoi_area_std,voronoi_area_cv,nn_dist_inflammatory_to_neoplastic_mean,nn_dist_inflammatory_to_neoplastic_std,nn_dist_inflammatory_to_stromal_mean,nn_dist_inflammatory_to_stromal_std,nn_dist_neoplastic_to_stromal_mean,nn_dist_neoplastic_to_stromal_std,nn_dist_neoplastic_to_benign_epithelial_mean,nn_dist_neoplastic_to_benign_epithelial_std,clustering_coeff_global,clustering_coeff_benign_epithelial,clustering_coeff_inflammatory,clustering_coeff_necrotic,clustering_coeff_neoplastic,clustering_coeff_no_label,clustering_coeff_stromal,morans_I_benign_epithelial,morans_I_inflammatory,morans_I_necrotic,morans_I_neoplastic,morans_I_no_label,morans_I_stromal,degree_skewness,degree_kurtosis,tumor_n_islands,tumor_island_mean_size,tumor_island_max_size,tumor_island_std_size,tumor_isolated_cells,tumor_fragmentation,tumor_stroma_boundary,invasion_front_ratio,interior_tumor_ratio,neoplastic_eccentricity,neoplastic_hull_area,immune_proximity_to_tumor_mean,immune_proximity_to_tumor_std,immune_proximity_to_tumor_median,immune_exclusion_score,TIL_at_margin_frac,TIL_at_margin_abs,immune_n_clusters,immune_cluster_mean_size,immune_cluster_max_size,immune_isolated_cells,modularity_celltype,n_connected_components,celltype_entropy,local_entropy_mean,local_entropy_var,local_entropy_std,total_triangles,homotypic_triangles,heterotypic_triangles,homotypic_triangle_frac,stromal_dispersion,immune_dispersion,neo_infl_to_neo_stro_ratio,neoplastic_dispersion,clustering_coeff_global_r80,invasion_front_ratio_r80,modularity_celltype_r80,local_entropy_var_r80,degree_skewness_r80,degree_kurtosis_r80
TCGA-EJ-5494,1013979,1278320,0.033021394,0.1334209091115299,0.027844758,0.3558002680528886,0.005035607,0.4448770635289291,2.521393441087044,1.7868850854443696,15,0.3326202503902185,0.3704960299794674,3.325060478451752,0.4941733809537895,2.955279925491181,0.6094341774465765,2.007012821420982,0.6996377875882825,2.974080726438158,0.2206964479251855,3.3591852722287503,0.9465926985704292,1.992281022221434,0.302640926,0.3241394955879592,0.005725483,0.000280055,0.2318527442267976,0.003385694,0.1036281995118593,0.008914043,0.01022201,0.002795075,0.027348395,0.005218568,0.045465142,0.006571907,0.000332468,0.000618781,0.070041148,0.109920051,0.012178484,0.009279367,0.021602572,0.000480318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033723667,0.1341068917944333,0.027247159,0.3569687671605593,0.005110316,0.4428431987706769,2.6570626323898563,0.2916377784069134,0.0331804,0.1192596881465309,0.021369248,0.3439149436192855,0.004823246,0.3526382525303811,32888.53059440867,710157.1774074351,21.59285211508257,113.12166471385493,135.9656517873064,41.01610617636432,23.483159770329017,63.54925515427191,33.66183432687952,209.2724675310863,167.64517634727102,,,,,,,,0.6206212358344315,0.3988374712862318,0.225823809,0.663544727,0.047472002,0.4737662570721994,0.7250221356260448,0.6102843706172032,78301,4.607527362,1469,12.67390159157342,35714,0.995928199,132470,0.2672836734354471,0.5379129316414154,11476.971976878183,4140593087.9862494,113.12166471385493,135.9656517873064,70.54436799913483,0.6573676310749961,0.2446668539242789,33100,79265,1.7067558190878698,697,58911,0.3279028764523117,220733,1.7827892777770982,0.3857575950158293,0.2745836161306443,0.5240072672498391,0,0,0,,0.9687395814947736,0.4056166133606357,0.4387332981052314,1.6963436951155106,,0.7471131511694302,0.2278753677484326,0.3197678380478895,0.6378173896631408,0.9573082240390498
TCGA-KK-A59Y,1039956,1131615,0.101737958,0.1062112243210289,0.004754047,0.4045555773513495,0.005268492,0.3774727007681094,2.176274765470847,1.6166997087291564,15,0.28244458,0.3661532136731543,3.054790506885438,0.3681226953088521,2.404436196,0.6087362922899837,1.3007686084142396,0.8976880403255331,2.4062844647271344,0.1743189077775311,3.3929549187807995,0.9672618229591018,1.6228273745080308,0.273285368,0.3654723558807545,0.006903408,0.000279247,0.1953968443330991,0.002981579,0.065720232,0.001611856,0.01869187,0.003323569,0.065965015,0.017487396,0.023480601,0.000282782,6.274218705124976e-05,0.002598057,0.053018032,0.082981403,0.001786827,0.001383863,0.090300146,0.000272177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1030986739384225,0.1065794992333137,0.004578361,0.4046886157350532,0.005334661,0.3757201898562115,2.3000904870349896,0.2418398509520189,0.099883682,0.089658178,0.002917023,0.3722182784890031,0.005273719,0.2847506649377059,33164.42899101085,727383.5870547268,21.932643171751355,159.3197699942453,195.45836729446725,49.40970418,41.80304426294738,108.95548723874442,89.23138462892862,147.3474417250392,115.74467494804078,,,,,,,,0.7834004837974272,0.4147442355535738,0.058833018,0.6941402862320474,0.04206546,0.5335702882630049,0.8502947833584509,1.0396305876493497,114206,3.683869498975536,1523,10.45486781051888,57724,0.9963800152120176,74370,0.1409749952462445,0.6206360524814604,9477.842021927458,3987517695,159.3197699942453,195.45836729446725,92.18620594630475,0.7484527095743135,0.1567516183060975,17314,70909,1.5577007150009166,1291,55214,0.3911911287557151,269555,1.814331588363323,0.293334422,0.2276329395725168,0.4771089388939562,0,0,0,,1.1349597835962242,0.4120887423586785,0.3572811617587737,2.232831598496955,,0.5041642897889332,0.2880401687454763,0.3322409339033154,1.071474930998574,2.638225951973526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
